"nutrient_id","amount","upper_limit","pct_calories","target_lower_bound","target_upper_bound","below_target_percent","above_target_percent","overridden","goal_type","scope","goal_generation_rule_id"
191,2108.540194366325,NULL,1,2003.1131846480087,2213.9672040846413,0.95,1.05,False,"calories","daily",371
219,600,4000,NULL,600,4000,NULL,NULL,False,"minimum_with_upper_limit","daily",20
200,1.2,NULL,NULL,1.2,1.2,NULL,NULL,False,"minimum","daily",130
201,1.3,NULL,NULL,1.3,1.3,NULL,NULL,False,"minimum","daily",131
210,5,NULL,NULL,5,5,NULL,NULL,False,"minimum","daily",132
217,2.4,NULL,NULL,2.4,2.4,NULL,NULL,False,"minimum","daily",133
218,120,NULL,NULL,120,120,NULL,NULL,False,"minimum","daily",134
197,3400,NULL,NULL,3400,3400,NULL,NULL,False,"minimum","daily",135
220,1600,NULL,NULL,1600,1600,NULL,NULL,False,"minimum","daily",166
207,1.7,100,NULL,1.7,100,NULL,NULL,False,"minimum_with_upper_limit","daily",180
209,400,1000,NULL,400,1000,NULL,NULL,False,"minimum_with_upper_limit","daily",181
215,90,2000,NULL,90,2000,NULL,NULL,False,"minimum_with_upper_limit","daily",182
216,15,1000,NULL,15,1000,NULL,NULL,False,"minimum_with_upper_limit","daily",183
221,1000,2000,NULL,1000,2000,NULL,NULL,False,"minimum_with_upper_limit","daily",184
205,900,10000,NULL,900,10000,NULL,NULL,False,"minimum_with_upper_limit","daily",185
195,8,45,NULL,8,45,NULL,NULL,False,"minimum_with_upper_limit","daily",186
199,700,4000,NULL,700,4000,NULL,NULL,False,"minimum_with_upper_limit","daily",187
212,55,400,NULL,55,400,NULL,NULL,False,"minimum_with_upper_limit","daily",188
204,11,40,NULL,11,40,NULL,NULL,False,"minimum_with_upper_limit","daily",189
202,16,35,NULL,16,35,NULL,NULL,False,"minimum_with_upper_limit","daily",301
211,2.3,11,NULL,2.3,11,NULL,NULL,False,"minimum_with_upper_limit","daily",302
203,420,NULL,NULL,420,420,NULL,NULL,False,"minimum","daily",333
208,900,3000,NULL,900,3000,NULL,NULL,False,"minimum_with_upper_limit","daily",349
193,1500,2300,NULL,1500,2300,NULL,NULL,False,"maximum_with_invisible_lower_limit","daily",365
206,29.51956272112855,NULL,0.014,29.51956272112855,29.51956272112855,1,1,False,"dynamic_minimum","daily",369
194,289.92427672536974,NULL,0.55,237.2107718662116,342.63778158452783,0.45,0.65,False,"dynamic_range","daily",372
214,70.28467314554416,NULL,0.3,46.856448763696115,81.99878533646819,0.2,0.35,False,"dynamic_range","daily",373
196,23.428224381848057,NULL,0.1,23.428224381848057,23.428224381848057,1,1,False,"dynamic_maximum","daily",374
192,79.07025728873718,NULL,0.15,52.71350485915813,184.49726700705344,0.1,0.35,False,"dynamic_range","daily",375
386,52.71350485915813,NULL,0.1,52.71350485915813,52.71350485915813,1,1,False,"dynamic_maximum","daily",2179
